canonical_id	status	collection_path	pdf_path	txt_path	pdf_bytes	txt_chars	text_extractor	pdf_sha256	source_url	label	page_url	error
AN 6.55	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an06-55/an06-55.pdf	anguttara-nikaya/an06-55/an06-55.txt	195881	16050	pymupdf	2459fcbe27ef25f14249e124faea91c4d1ae9b6c6a0a3a0aede437669a4705f9	https://www.mindreleased.com/s/AN-655-Soa-Sutta.pdf	Soṇa Sutta (With Soṇa) AN 6.55	https://www.mindreleased.com/pali-suttas	
MN 47	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn47/mn47.pdf	majjhima-nikaya/mn47/mn47.txt	171376	9703	pymupdf	e231c27fb5900034556d619489af1985bf896e03c0db8103ce47c4b41421cd29	https://www.mindreleased.com/s/MN-47-Vmasaka-Sutta.pdf	Vīmaṁsaka Sutta (Examination) MN 47	https://www.mindreleased.com/pali-suttas	
AN 7.61	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an07-61/an07-61.pdf	anguttara-nikaya/an07-61/an07-61.txt	92121	8459	pymupdf	abb6f2e97887322751d525933e3780f41f80b4d8fa06ac97cc22e08e4ef67b50	https://www.mindreleased.com/s/AN-761-Pacalyamna-Sutta.pdf	Pacalāyamāna Sutta (Dozing Off) AN 7.61	https://www.mindreleased.com/pali-suttas	
MN 145	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn145/mn145.pdf	majjhima-nikaya/mn145/mn145.txt	150205	10625	pymupdf	c72e7eb465f9ccdba1145102fd780c5d38a66561d891ab5837ad4d41e0da8973	https://www.mindreleased.com/s/MN-145-Puovda-Sutta.pdf	Puṇṇovāda Sutta (Advice to Venerable Puṇṇa) MN 145	https://www.mindreleased.com/pali-suttas	
AN 8.30	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an08-30/an08-30.pdf	anguttara-nikaya/an08-30/an08-30.txt	222043	18438	pymupdf	769ec18d77a1730e77e8d8404d68ae7504517c663f915cf1f005a6f9ca0fbf8c	https://www.mindreleased.com/s/AN-830-Anuruddhamahvitakka-Sutta.pdf	Anuruddhamahāvitakka Sutta (Anuruddha’s Thoughts of a Great Man) AN 8.30	https://www.mindreleased.com/pali-suttas	
DN 22	TEXT_EXTRACTED	digha-nikaya	digha-nikaya/dn22/dn22.pdf	digha-nikaya/dn22/dn22.txt	385869	108429	pymupdf	b06b195f5e93b9cc6386fcc6b8a9ed023588406abf1e6ba53669c18713d9097d	https://www.mindreleased.com/s/DN-22-Mahsatipahna-Sutta.pdf	Mahāsatipaṭṭhāna Sutta (The Great Discourse on the Four Establishments of Mindfulness) DN 22	https://www.mindreleased.com/pali-suttas	
MN 133	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn133/mn133.pdf	majjhima-nikaya/mn133/mn133.txt	198886	25806	pymupdf	9e76b7303c5f7bf937295566faaa4cca7f38cc5cfda1ea8f723a47d57cec0ca7	https://www.mindreleased.com/s/MN-133-Mahkaccna-Bhaddekaratta-Sutta.pdf	Mahākaccāna Bhaddekaratta Sutta (Mahākaccāna’s Exposition on “The Ideal Lover of Solitude”) MN 133	https://www.mindreleased.com/pali-suttas	
MN 118	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn118/mn118.pdf	majjhima-nikaya/mn118/mn118.txt	228719	27166	pymupdf	0f4dbf2e8f498af37570eb12a58f9910dde8fe0d7929a387a1a680b52b50fc95	https://www.mindreleased.com/s/MN-118-npnasati-Sutta.pdf	Ānāpānasati Sutta (Discourse on the Mindfulness of In & Out Breathing) MN 118	https://www.mindreleased.com/pali-suttas	
MN 18	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn18/mn18.pdf	majjhima-nikaya/mn18/mn18.txt	141375	25440	pymupdf	a637daa75f9ef409c5991e031ccbae70723bfb33b5afc37faf59491731a461e8	https://www.mindreleased.com/s/MN-18-Madhupiika-Sutta.pdf	Madhupiṇḍika Sutta (The Honey Ball Discourse) MN 18	https://www.mindreleased.com/pali-suttas	
AN 9.11	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an09-11/an09-11.pdf	anguttara-nikaya/an09-11/an09-11.txt	175048	11764	pymupdf	082b741a009b8430fe749bdc543b5ef38a34cb1026007d1afc078d8a89e43f4d	https://www.mindreleased.com/s/AN-911-Sihanda-Sutta.pdf	Sihanāda Sutta (The Lion’s Roar) AN 9.11	https://www.mindreleased.com/pali-suttas	
